uid,用户名,性别,等级,粉丝牌,大会员,认证,关注数,粉丝数,获赞数,播放数,阅读数,总投稿数,最多投稿分区,十万粉丝
75,丸子,男,6,云丸家,百年大会员,bilibili 知名UP主、直播高能主播,320,1010321,120157663,9666855,603494,564,游戏,十万粉以上
1492,Q-kun,保密,6,,年度大会员,bilibili 直播高能主播,75,486038,64071002,1298043,0,446,游戏,十万粉以上
2776,HJISTC,保密,6,,年度大会员,,89,15210,933925,22003,1812,133,游戏,以下
3506,车牌,男,6,胖丁,年度大会员,,9,59619,19013157,302451,0,1366,游戏,以下
7349,STN工作室,男,6,,无,bilibili 2019百大UP主、 知名游戏UP主、直播签约主播,124,1827637,396243280,15702748,984727,977,游戏,十万粉以上
12246,囧仙,男,6,,年度大会员,bilibili 知名UP主,154,176665,3067330,9329419,762115,111,动画,十万粉以上
13046,少年Pi,男,6,甜嘻嘻,年度大会员,,27,583184,2921455,158803036,0,633,游戏,十万粉以上
15810,Mr.Quin,男,6,白鸡熊,年度大会员,bilibili 知名UP主,22,509619,3718234,101121980,0,842,游戏,十万粉以上
16420,是小Q喔,保密,5,,无,,23,1826,15487,287924,74,82,游戏,以下
25753,鱼炒饭,男,6,毒奶,年度大会员,bilibili直播签约主播,81,42477,43382,3498123,0,308,游戏,以下
35637,VFXinfo官方账号,保密,6,,年度大会员,,228,38055,64329,2346063,4238,732,知识,以下
35680,SoliDEyE,保密,5,琉璃汁,无,,222,18714,10761,2889302,0,51,游戏,以下
42455,Elysian绿豆,男,6,一库走,年度大会员,bilibili 直播签约主播,117,88094,8338521,316961,1,176,游戏,以下
43536,黑桐谷歌,保密,6,,年度大会员,bilibili 2019百大UP主、直播签约主播,216,2430831,9536440,299128530,1132013,1092,游戏,十万粉以上
48039,北极熊剩饭,保密,6,獭堡,年度大会员,bilibili直播签约主播,88,161587,1652019,8109142,0,407,游戏,十万粉以上
50623,没睡醒的肉啊,保密,5,,年度大会员,,254,13822,14821,60145,9599,6,生活,以下
58978,佩奇Pegaiur,男,6,,年度大会员,,29,13258,23839,310939,11255,54,游戏,以下
73726,大大的荷包蛋,保密,6,影迷,无,,27,83764,16773779,32050,10735,12,生活,以下
93066,N.ec鱼丸,保密,6,,年度大会员,国内MAD作者，从属于Sakuramai-MAD-Studio あなたが選ぶ静止画M@D大賞2011,54,139306,22212271,768535,0,11,动画,十万粉以上
110631,狗狗狗雨,男,6,狐狸,年度大会员,bilibili 知名游戏UP主、直播高能主播,73,916043,780099,25969833,0,271,游戏,十万粉以上
116683,=咬人猫=,保密,6,,年度大会员,bilibili 2020百大UP主、知名UP主,35,3625232,325204750,8367368,0,115,舞蹈,十万粉以上
122879,敖厂长,保密,6,六百万,无,bilibili 2020百大UP主、知名UP主,18,7556716,32797383,1052135092,132914,387,游戏,十万粉以上
136107,Bison仓鼠仓,保密,6,,年度大会员,,355,352640,4069514,7027010,313025,26,游戏,十万粉以上
149592,幻想乡的新月,保密,6,,年度大会员,bilibili 知名UP主,187,228515,2568673,92066864,16794,3735,动画,十万粉以上
171403,Dream丶D,保密,6,aLLucc,年度大会员,,542,24747,80298,4345829,0,623,游戏,以下
198297,冰糖IO,女,6,DD骑士,年度大会员,bilibili 知名UP主,984,935026,13462738,85075944,539449,865,动画,十万粉以上
208259,陈睿,男,6,,十年大会员,bilibili董事长兼CEO,463,2454789,4866120,11219712,7183960,7,知识,十万粉以上
210232,瑶山百灵,女,6,YV橘子,年度大会员,,230,45957,400357,2071627,8958,68,音乐,以下
210628,MKiiiiii,女,6,,年度大会员,,149,44124,143509,621439,1609,68,游戏,以下
213355,九条華恋,保密,6,星色,年度大会员,,499,1565,8945,315773,7952,173,游戏,以下
249118,shourei小N,女,6,,年度大会员,bilibili 知名UP主,74,653372,2683932,20699509,517260,136,动画,十万粉以上
256763,穿胖次的狐狸,保密,6,,年度大会员,bilibili 知名游戏UP主,20,1034883,106350070,2809811,97033,796,游戏,十万粉以上
275981,小绝,男,6,陆夫人,年度大会员,bilibili 知名游戏UP主,35,729527,1071065,73889683,0,309,游戏,十万粉以上
288239,虐猫狂人薛定谔,男,6,,年度大会员,bilibili 知名UP主,46,346962,162399,58336862,0,394,动画,十万粉以上
301570,沙包_Chilli,保密,6,,年度大会员,bilibili 知名UP主,166,327547,705096,4884123,52362,19,生活,十万粉以上
